17.2204728,22.2209833,15.8023108,20.8055918,22.0312753,27.0329413
19.292899,24.293375,20.3549197,25.3580771,29.4624937,34.4642735
26.1271076,31.1276255,21.5837955,26.5879236,48.3705731,53.3756706
32.42446,37.4264018,23.9247137,28.9278943,53.3685435,58.3730704
34.8887847,39.8893518,27.6014937,32.6046685,79.2894923,84.2933577
65.0439496,70.0444285,31.5604185,36.5636375,81.3350592,86.3387865
73.1410428,78.1415196,62.4930459,67.4963688,90.8172485,95.8216479
74.069471,79.0699507,63.8269259,68.8301345,93.7131993,98.7171371
86.6108637,71.6113968,84.9840777,89.9880809,99.4195462,104.4253658
97.1525303,102.1533452,112.2846764,117.2878806,108.8871167,113.8928011
