417.3700631,422.3734264,407.9264233,412.9321223,422.219562,427.2196456
426.1025292,431.1061827,431.072817,435.0806672,442.1730266,447.1731342
426.6378824,431.6472171,433.9411562,438.9449195,464.6904336,469.6905245
430.0225328,435.0258357,446.3360177,451.3401219,471.7862261,476.7863134
453.6720223,458.6756511,453.935836,458.9398374,478.1763612,413.1764788
455.4425018,460.4464976,459.116613,464.1206345,483.5092007,488.5092908
456.6800094,461.6842019,466.1412576,471.1464991,484.5759622,489.5760584
464.9269371,469.9307296,487.3278186,492.3421527,484.6440359,489.6441246
476.1631708,481.1665499,496.6778994,501.6869324,487.1983808,492.1985173
498.4955793,503.4991303,505.8218539,510.8262215,491.8252598,496.8253724
