16.7468193,21.7505556,36.9060735,41.9077511,31.5335123,36.5336238
19.1865623,24.191108,54.2828209,59.2845314,33.1001777,38.1002649
20.3582278,25.362957,54.5361396,59.5398445,37.8754046,42.8755307
20.8801225,25.8833597,69.6161614,74.620869,49.3697838,54.3698666
20.9301,25.9334727,73.3780754,78.3822344,57.1273922,62.1274745
34.550408,39.5538679,80.5920188,85.5961911,60.0863916,65.0864863
38.5521323,43.5577606,102.086698,107.0904534,81.4077907,86.4078749
45.3127308,50.3164081,108.1718733,113.1769703,90.8616007,95.861685
45.4348257,50.4389263,114.9187156,119.9223694,91.0920293,96.0921286
45.7618931,50.7665874,122.5297307,127.5336679,95.5953225,100.5955391
